iter,maps,reduces,executors,rdd_load_in_s,rdd_work_in_s,avg_reduce_s,twh_reduce_s,iter_total_s,mapreduce_s,avg_count,twh_count,overall_avg_load,overall_total_work_Wh
68,10,2,1,0.0,0.0,2.537,2.486,5.023,5.023,1956,40,26.680852,173.804
69,10,2,1,0.0,0.0,2.476,2.617,5.093,5.093,1956,40,26.680852,173.804
70,10,2,1,0.0,0.0,2.519,2.66,5.179,5.179,1956,40,26.680852,173.804
71,10,2,1,0.0,0.0,2.512,2.621,5.133,5.133,1956,40,26.680852,173.804
72,10,2,1,0.0,0.0,2.498,2.558,5.056,5.056,1956,40,26.680852,173.804
73,10,2,1,0.0,0.0,2.511,2.657,5.168,5.168,1956,40,26.680852,173.804
74,10,2,1,0.0,0.0,2.407,2.633,5.04,5.04,1956,40,26.680852,173.804
75,10,2,1,0.0,0.0,2.571,2.721,5.291,5.291,1956,40,26.680852,173.804
76,10,2,1,0.0,0.0,2.484,2.52,5.005,5.005,1956,40,26.680852,173.804
77,10,2,1,0.0,0.0,2.507,2.602,5.11,5.11,1956,40,26.680852,173.804
78,10,2,1,0.0,0.0,2.581,2.658,5.239,5.239,1956,40,26.680852,173.804
79,10,2,1,0.0,0.0,2.358,2.692,5.05,5.05,1956,40,26.680852,173.804
80,10,2,1,0.0,0.0,2.514,2.812,5.326,5.326,1956,40,26.680852,173.804
81,10,2,1,0.0,0.0,2.558,2.628,5.186,5.186,1956,40,26.680852,173.804
82,10,2,1,0.0,0.0,2.423,2.675,5.098,5.098,1956,40,26.680852,173.804
83,10,2,1,0.0,0.0,2.456,2.599,5.055,5.055,1956,40,26.680852,173.804
84,10,2,1,0.0,0.0,2.443,2.523,4.966,4.966,1956,40,26.680852,173.804
85,10,2,1,0.0,0.0,2.478,2.648,5.127,5.127,1956,40,26.680852,173.804
86,10,2,1,0.0,0.0,2.505,2.603,5.108,5.108,1956,40,26.680852,173.804
87,10,2,1,0.0,0.0,2.457,2.62,5.077,5.077,1956,40,26.680852,173.804
88,10,2,1,0.0,0.0,2.455,2.612,5.067,5.067,1956,40,26.680852,173.804
89,10,2,1,0.0,0.0,2.391,2.505,4.896,4.896,1956,40,26.680852,173.804
90,10,2,1,0.0,0.0,2.578,2.608,5.186,5.186,1956,40,26.680852,173.804
91,10,2,1,0.0,0.0,2.39,2.466,4.856,4.856,1956,40,26.680852,173.804
92,10,2,1,0.0,0.0,2.414,2.557,4.971,4.971,1956,40,26.680852,173.804
93,10,2,1,0.0,0.0,2.452,2.48,4.932,4.932,1956,40,26.680852,173.804
94,10,2,1,0.0,0.0,2.386,2.57,4.956,4.956,1956,40,26.680852,173.804
95,10,2,1,0.0,0.0,2.499,2.476,4.975,4.975,1956,40,26.680852,173.804
96,10,2,1,0.0,0.0,2.452,2.571,5.024,5.024,1956,40,26.680852,173.804
97,10,2,1,0.0,0.0,2.432,2.64,5.072,5.072,1956,40,26.680852,173.804
98,10,2,1,0.0,0.0,2.424,2.603,5.027,5.027,1956,40,26.680852,173.804
99,10,2,1,0.0,0.0,2.43,2.734,5.165,5.165,1956,40,26.680852,173.804
100,10,2,1,0.0,0.0,2.559,2.649,5.209,5.209,1956,40,26.680852,173.804
