iter,maps,reduces,executors,rdd_load_in_s,rdd_work_in_s,avg_reduce_s,twh_reduce_s,iter_total_s,mapreduce_s,avg_count,twh_count,overall_avg_load,overall_total_work_Wh
68,10,2,1,0.0,0.0,2.379,2.776,5.155,5.155,1956,40,26.680852,173.804
69,10,2,1,0.0,0.0,2.472,2.609,5.082,5.082,1956,40,26.680852,173.804
70,10,2,1,0.0,0.0,2.531,2.677,5.208,5.208,1956,40,26.680852,173.804
71,10,2,1,0.0,0.0,2.537,2.687,5.224,5.224,1956,40,26.680852,173.804
72,10,2,1,0.0,0.0,2.568,2.538,5.105,5.105,1956,40,26.680852,173.804
73,10,2,1,0.0,0.0,2.508,2.655,5.163,5.163,1956,40,26.680852,173.804
74,10,2,1,0.0,0.0,2.684,2.659,5.342,5.342,1956,40,26.680852,173.804
75,10,2,1,0.0,0.0,2.547,2.662,5.209,5.209,1956,40,26.680852,173.804
76,10,2,1,0.0,0.0,2.519,2.677,5.196,5.196,1956,40,26.680852,173.804
77,10,2,1,0.0,0.0,2.549,2.784,5.333,5.333,1956,40,26.680852,173.804
78,10,2,1,0.0,0.0,2.583,2.577,5.161,5.161,1956,40,26.680852,173.804
79,10,2,1,0.0,0.0,2.571,2.557,5.13,5.13,1956,40,26.680852,173.804
80,10,2,1,0.0,0.0,2.544,2.567,5.111,5.111,1956,40,26.680852,173.804
81,10,2,1,0.0,0.0,2.436,2.793,5.229,5.229,1956,40,26.680852,173.804
82,10,2,1,0.0,0.0,2.408,2.945,5.353,5.353,1956,40,26.680852,173.804
83,10,2,1,0.0,0.0,2.463,2.547,5.01,5.01,1956,40,26.680852,173.804
84,10,2,1,0.0,0.0,2.503,2.696,5.199,5.199,1956,40,26.680852,173.804
85,10,2,1,0.0,0.0,2.453,2.581,5.034,5.034,1956,40,26.680852,173.804
86,10,2,1,0.0,0.0,2.414,2.721,5.135,5.135,1956,40,26.680852,173.804
87,10,2,1,0.0,0.0,2.62,2.828,5.449,5.449,1956,40,26.680852,173.804
88,10,2,1,0.0,0.0,2.703,2.6,5.305,5.305,1956,40,26.680852,173.804
89,10,2,1,0.0,0.0,2.527,2.571,5.098,5.098,1956,40,26.680852,173.804
90,10,2,1,0.0,0.0,2.572,2.475,5.047,5.047,1956,40,26.680852,173.804
91,10,2,1,0.0,0.0,2.377,2.463,4.84,4.84,1956,40,26.680852,173.804
92,10,2,1,0.0,0.0,2.487,2.739,5.226,5.226,1956,40,26.680852,173.804
93,10,2,1,0.0,0.0,2.462,2.542,5.004,5.004,1956,40,26.680852,173.804
94,10,2,1,0.0,0.0,2.416,2.613,5.029,5.029,1956,40,26.680852,173.804
95,10,2,1,0.0,0.0,2.531,2.495,5.026,5.026,1956,40,26.680852,173.804
96,10,2,1,0.0,0.0,2.556,2.728,5.284,5.284,1956,40,26.680852,173.804
97,10,2,1,0.0,0.0,2.389,2.582,4.971,4.971,1956,40,26.680852,173.804
98,10,2,1,0.0,0.0,2.442,2.629,5.072,5.072,1956,40,26.680852,173.804
99,10,2,1,0.0,0.0,2.359,2.669,5.028,5.028,1956,40,26.680852,173.804
100,10,2,1,0.0,0.0,2.518,2.589,5.106,5.106,1956,40,26.680852,173.804
